,App name,Version,Review,Description,Not available anymore,Category,Paid app,Non English,Not MSM social media dating app ,Not for NZ users,None Target MSM,Unnamed: 11,Unnamed: 12
520,Threesome Hookup & Free Dating App - The Unicorn,1.0.5,753.0,We have the best dating app for you to feel safe empowered and sexy on your threesome search. Make friends and connections in our open-minded lifestyle community. Our free premium features make finding a threesome easier than ever. <br/><br/>😍 MAKE YOUR THREESOME FANTASIES COME TRUE<br/><br/>Having a threesome is the most common fantasy among people all over the world. And regular dating apps or hookup apps don’t cater to finding a threesome. But we do. We designed The Unicorn with your desires in mind. <br/><br/>If you’re curious about threesomes or already know you want to find a no-strings (NSA) threesome fling or crave some new relationship energy in your life you’ve come to the right place. <br/><br/>🦄 THE UNICORN IS DIFFERENT THAN OTHER DATING APPS<br/><br/>The Unicorn makes meeting members of our sexy-positive community a great place to match meet chat make new friends and set up a threesome. Meet people who are respectful playful and real.  <br/><br/>😬 NO MORE WEIRD CONVERSATIONS<br/><br/>You’ll never have to wonder if your match is open to a threesome ever again because everyone on The Unicorn dating app for threesome likes three people at a time. Every time. <br/><br/>💬 GROUP CHAT WITH 3 PEOPLE WITH VOICE OR IM<br/><br/>It’s so much easier to find a threesome here than on other FWB HUD (hook up dating) apps and swinger sites. Because the three of you can be in on the same conversation simultaneously. You can hear see or IM your chosen party of three so you’ll all know if you have potential relationship synergy. You’ll have fun connecting with everyone in your party online first. Swipe right or left? But we focus on the real conversations.<br/><br/>🙋 SIGN UP AS A SINGLE<br/><br/>Single Unicorn? You’ll have your pick of monogamish couples and swingers to join you on your adventures. We’re hands down and hands up the best friend finder app for threeways.<br/><br/>👫 SIGN UP AS A COUPLE<br/><br/>Coupled up? We made it easy to link to your partner or friend’s profile. You can also create a combined bio so you can look for the perfect third together. The community will know you have a primary partner and are seeking a new adult friend or playmate. The Unicorns will understand what both of you are looking for from the start. <br/><br/>📸 UPLOAD AND VIEW PROFILE VIDEOS AND PICTURES<br/><br/>We bet you’ve never seen anything like The Unicorn. In our free swingers app for threesomes you’ll know right away if you like what you see and hear. <br/><br/>🤳 ALL OUR MEMBERS ARE PHOTO VERIFIED<br/><br/>We like real people and we know you do too. We check every profile to ensure every signup is real. No fakes. No spams. No bots.<br/><br/>🔗 NEVER CONNECT A SOCIAL MEDIA ACCOUNT<br/><br/>Like discretion? We do too. Your secrets are safe with us.<br/><br/>MATCH. CHAT. MEET. FIND YOURSELF A THREESOME. <br/><br/>We connect threesome seekers in one playful place. It’s easier than ever to find people who are looking for the same kind of alternative threesome relationship lifestyle as you. <br/><br/>🔐 FEEL LIBERATED. FEEL SAFE. FEEL GOOD ABOUT YOUR LIFESTYLE CHOICES<br/><br/>Set your preferences and show potential matches precisely what you’re looking for. Hook up with other singles swingers couples and friends on the Unicorn app. You can come together with like-minded people with no judgment on your search for a threesome. <br/><br/>The Unicorn dating app is the place where playmates understand that no means no and yes means… YES!<br/><br/>When you join us you’ll see how easy and fun it is to find people ready to find a threesome. <br/><br/>❤️ HAVE A THREESOME WITH THE PEOPLE YOU LIKE<br/><br/>We cater to FMF threesomes MFM threesomes as well as MMM AND FFF threesomes. Make new friends find friends with benefits swing or swap any way you choose.  <br/><br/>PREMIUM FEATURES ON THE UNICORN ARE 💯 PERCENT FREE!<br/><br/>Most dating apps for free aren’t geared toward finding a threesome but this one is! Are you ready to play? Sign up today and meet some of our threesome-loving verified playmates. We know you’ll love the Unicorn casual hookup dating app because with us it’s easy to make your threesome fantasies come true.,,Dating,,,,,y,,
523,"TopGay - gay video chat, gay friends, gay dating",1.1.4,85.0,TopGay is a real-time video chatting && gay dating app.<br/><br/>Do you want to meet a new gay boy bisexual and curious men? No more fake! We have this TopGay club app for the free video chat which we can check if they are real!!<br/>You can meet lots of new people in TopGay app. Check the person if you like and add as friend. You can have a free video call with your friends in your friend list.<br/>We are very welcome all the people who are curious men bisexuals and gay singles to find the right guy.<br/><br/><br/>* The Best Gay Dating App<br/>1. Random video chat with people in the whole world.<br/>2. Be the Top Gay in the top gay list.<br/>3. Gay dating with people you saw and liked.<br/>4. Add them as your friend in you friend list to video call.<br/><br/><br/>* How to use<br/>1. Pick the gender you like with a simple profile. <br/>2. Then go to gay club and dance to start Random Video Chat.<br/>3. Add the person you liked as your friend from the chat history.<br/>4. Now we can video call to our friends! <br/><br/><br/>The TopGay App is for adults 18 years and older only. Photos depicting sex acts or nudity are strictly prohibited.,,Dating,,,,,y,gay,
524,"Trans - Transgender, Kinky, Dating & Chat",2.5.1,9281.0,Trans is the world best transgender dating app to meet transgender people.  If you are interested in transgender Trans is the perfect place for you. What are you waiting for? Trans makes it easy for transgender people and their admirers to meet each other.  <br/><br/>Join Now and connect with hundreds of thousands of transgender bisexual Trans men Trans women local and worldwide.,,Social,,,,,y,"transgender, bisexual, Trans men, Trans women",
525,Trans-Gay Live Chat Date Bisexual Meet&Video Call,1.34,413.0,Trans-Gay Live Chat Date Bisexual Meet&Video Call<br/><br/><b>Secure & Security </b><br/>its secure app no call recording and screenshot take wile video chat<br/><br/><b>Contact Us</b><br/>contact our organization if you find and trouble or problem.on<br/>randomvideocall23@gmail.com,,Social,,,,,y,gay,
526,TransFable — Transgender & Crossdresser Dating,0.1.10,60.0,A dating app exclusive to transgender women crossdressers and trans-oriented men.<br/><br/>All users are manually verified. No bots and no fake profiles. 100% Genuine Community.<br/><br/>The app is 100% free for transgender women and crossdressers!<br/><br/>A version of the app will always remain free! Created to improve the dating life of transgender women crossdressers and trans-oriented men around the world.<br/><br/>Terms of Use<br/>https://transfable.com/termsandconditions.html<br/><br/>Privacy Policy<br/>https://transfable.com/privacypolicy.html,,Dating,,,,,y,transgender women crossdressers and trans-oriented men,
527,"TransG:Transgender, Crossdresser, Date Free Chat",3.6(05081400),1337.0,TransG  is a friendly inclusive and accepting online dating site designed for transgender singles to feel comfortable and confident in meeting someone find friends date new people and enjoy the fun!<br/><br/>If you’re open to trying new things in dating and relationships then TransG just might be the site for you. TransG has a massive user base of hot singles with unique wants and needs. It doesn’t matter if you’re gay straight lesbian trans bi or something in between.<br/><br/>Whether you’re looking for a new friend or a date TransG is a premiere destination for transgender daters. The site open to all transgender people and their admirers. When signing up you can identify as a man woman pre-op male-to-female post-op male-to-female pre-op female-to-male or post-op female-to-male. Cross dressers and transexuals are welcome on TransG as well.<br/><br/>Main features:<br/><br/>1) Chat - Verified members can send unlimited messages you can send videos pictures voice and text.<br/>2) Feed - it shows the latest moments and updates of other users. You can share your lifestyle with others by uploading your photos and you can also like and Live chat.<br/>3) Pattern lock - Create your pattern lock to protect your account.,,Dating,,,,,y,"gay, straight, lesbian, trans, bi, or something in between",
528,Transgender Flirt,2.1,11.0,Do you often feel flirtatious? With our application you can flirt with the members you like to find out if they like you too. This app is a dating platform for transgendered dating. Our aim is to help transsexual women and men or Transvestites to find the right partner and love.  The App is designed to hook up transgender all over the world on a secure and protected platform. Trans Flirt has among many other features Location-based User Search Webcam Messages Chat Winks and Real Time Notifications. All you need to do to get started is to create a profile. It is very simple free and takes just a few seconds. Your profile will be shown on the search results straight after it is approved. Making changes to it is fast and simple. Go to the Profile tab of the main menu to see your profile exactly how other members see it on the application. Your profile is your digital self – make it as close to your real self as possible. By using the simple search function you can specify what you are looking for and see how many transgender members are in your area who are looking for a likeminded partner.  What are you waiting for? Get out there and have some fun.,,Dating,,,,,y,transsexual women and men or Transvestites to find the right partner and love,
529,Transgender: Trans Dating for TS & Crossdresser,1.0.5.6,3783.0,Transgender is a dating app for trans women and men. It's free to join our community to meet local TS singles crossdressers and non-binary people. <br/><br/>Did you find that it's really hard to find FtM or MtF transgenders in your area? TG singles not only face discrimination in real life but also face it online. Transgender is dedicated to helping tgirls and transvestites to find other trans people in a non-judgemental environment. Here you can date and hook up with transsexuals ladyboys and intersex people without worrying about discrimination. Whether you are straight gay lesbian or bisexual you can find like-minded people nearby.<br/><br/>Main features of our app:<br/>1 Search transgenders near me - Create your personal AD first. Then you can search for local singles.<br/>2 Voice message - With this feature you can chat with other trans singles via voice messages.<br/><br/>Join us now! Our app welcomes singles from all sexual orientations gender identities and races. Whether you are a black person or Asian you are welcome to join our community! Our community is growing fast in the UK UAE and Singapore.,,Dating,,,,,y,,
531,"Transpal - Transgender Dating, Trans Meet & Chat",1.3.1,351.0,TransPal Is a 100% Free Dating App and Social Network For Transsexuals Panssexuals Transgender People Crossdressers and LGBTs. <br/><br/>Want to meet and make friends with Transgender Crossdresser Bisexual Trans men Trans women? TransPal is the best and LGBTQI+ friendly dating app and social community for the people like you welcome to join this app where we believe that every single person has the right to love and be loved. <br/><br/>TransPal is not just a dating app for trans singles it is the community for transgender women & men crossdressers panty boys sissy boys ladyboys shemales etc who live their lives with pride. You can either chat make friends dating find new partners and more!  <br/><br/>Why TransPal? <br/><br/>1. Browse easily: Unlike other Transgender dating apps you can make friends & connect with other gays lesbians transgenders intersexes bisexuals and other queer people by location and interests. You can either follow them or pass them.  <br/><br/>2. Chat freely: It's 100% Free to Chat with matches.<br/><br/>3. Share proudly: You are not alone share your thoughts and ideas in your feed to meet more like-minded friends. <br/><br/>4. Show truly: Transpal is a judgment-free app where you don’t need to hide anything and free to show yourself. We understand and respect who you are! <br/><br/>You are not alone! TransPal is a Tinder-like app for transgender transexual crossdresser bisexual and LGBT meet and date. No matter you are in the US UK Australia or Canada you can always meet and date other transgenders since our members are around the world! <br/><br/>Privacy Policy: https://www.transpal.co/privacy.html <br/>Terms of Service: https://www.transpal.co/terms.html <br/>Contact us: support@TransPal.co,,Social,,,,,y,"Transsexuals, Panssexuals, Transgender People, Crossdressers, and LGBTs",
533,TruckerSucker gay dating truck drivers & truckers,1.3,707.0,Make no mistake; this is the app that you have been searching for. If you are not on TruckerSucker you are missing out! Signup now and Join the thousands of Masculine men who make TruckerSucker their regular daily rest stop. Installing TruckerSucker will bring friending gay chat and dating masculine discreet gay and bi men to your fingertips.<br/><br/>Not “just another gay dating app” TruckerSucker is for the masculine ordinary non-scene guy.  Our members are masculine bi gay or even straight men who just happen to enjoy the company of real masculine men. Installing our app is your roadmap to masculine gay and bisexual friendships dating and more. <br/><br/>Since 2004 TruckerSucker has been connecting gay and bisexual truckers blue collar guys and masculine non-scene men with their admirers. Our gay dating app provides a platform for rural discreet closeted truck drivers and masculine truckers to meet men safely and discreetly without fear of discovery harassment or danger. From the moment you sign up you will realize TruckerSucker is what you have been missing.  <br/><br/>TruckerSucker is a proven platform that connects masculine gay and bisexual men for lifetime friendships and relationships. Our community is a home where it's okay to be in the closet and discreet or just an ordinary guy who enjoys hanging with real genuine MEN. Our community is heavy on masculinity and lacks stereotypical gay cliques. <br/><br/>Every TruckerSucker profile is real and current created by a real person who is looking to connect. When you meet a verified member on Trucker Sucker you can be assured that he is who he says he is. Our rules are strictly enforced to make sure the men are real and fakes are removed as quickly as possible. Insist that your contacts get verified before meeting TruckerSucker profile verification is an extra step toward safety in gay dating.<br/> <br/>To contact a member simply click their main profile image or user name and send them a free message using the send message button located in their full profile. If they are not online a reminder will soon be emailed to them advising them of your contact. We never hold or block messages; members may send and receive free messages unrestricted as well as free real time chat with other members who are online.<br/><br/>The VIP access only People Nearby feature is a GPS locational feature that makes locating Truckers and Truck Drivers who are local a three click process. The TruckerSucker People Nearby feature is especially handy for over the road truckers who are in a different location each night. If you do not have VIP membership simply click the search button and do a manual search that is free select country then state or provinces will appear select yours and then city or zip code. <br/><br/>If you are ready to meet genuine manly masculine gay bi and straight truckers then now is the time to signup and get TruckerSucker!,,Dating,,,,,y,gay,
535,"TrulyHim --Gay dating, Live Chat & Video Calling",1,13.0,<p><strong>18+</strong></p><br/><p><strong><em>Find People chat phone call video call email Personal messaging and explore many more features to meet your other half 💖<br/></em></strong></p><br/><p><strong>TRULYHIM</strong>  is an USA based international dating website which is offered in android and IOS app as-well. It is free to join explore send emails and private messages. We make dating and finding your partner easy and safe where a user can explore the site in their native language and keep their personal information (phone number) secure from strangers. We also provide video calling and audio calling for members where they can confirm the identity before meeting in person. Our goal is to provide a safe and secure environment for members where they can chat date make friends and finally get married 👬. All success stories leading to marriages can be submitted by the members where they will be displayed on the website.</p><br/><p><strong>Key Features</strong></p><br/><p>⭐ Send Emails</p><br/><p>⭐ Send winks to show interests</p><br/><p>⭐ Unlimited Private message exchange</p><br/><p>⭐ Voice Calling.</p><br/><p>⭐ Video calling</p><br/><p>⭐ Send virtual gifts</p><br/><p>⭐ Play games (portal)</p><br/><p>⭐ Chat in chat rooms (in portal) with other people.</p><br/><p> <strong><u>How it works</u></strong></p><br/><p>TrulyHim is free to join explore people and send limited number of messages and emails per day for free members. When a member upgrades their membership they open a door to new possibilities where they can rate pictures share pictures voice call video call play games send unlimited emails messages and can explore many more exciting features.</p><br/><p>All memberships are on auto renewal and can be cancelled by going to their profile and pressing CANCEL AUTO-RENEWAL. No cancellation of current subscription is allowed during the active subscription period. If you decide not to upgrade your membership you can still use TrulyHim app for free to browse other members send emails personal messages and much more with limited features.</p>,,Dating,,,,,y,gay,
536,TS Dating: Free TS Dating App,3.18.0,338.0,Meet interesting singles around you anywhere you go!<br/><br/>TS Dating is a transsexual dating app for the transgender community. Go from sign up... to real dates within seconds. You can then start meeting new people immediately!<br/><br/>How TS Dating works:<br/><br/>1. Create an account by logging in with Facebook Apple or using your email address<br/>2. Complete your profile for a higher chance of finding your match<br/>3. Start browsing members on Matches screen<br/>4. Select Quick Match and simple Pass or Like other members.<br/>5. Check who liked you who did you like and mutual likes on Likes page.<br/>6. Check who is online near you on “Who’s Online” Page<br/>7. Send a Flirt from the profile page and show other member that you like him or her.<br/><br/><br/>The app is free to use but you can enhance your experience by upgrading to our premium VIP membership.<br/><br/><br/>VIP Membership Features:<br/><br/>* Likes Me: see who likes you<br/>* More Flirts: 3 flirts per 24 hrs for more chances of a match<br/>* Undo matches or miss-swipes<br/>* Ability to go private<br/>* Send unlimited Flirts<br/>* Chat with other members<br/>* and much more coming soon..<br/><br/><br/>TS Dating VIP Membership Pricing:<br/><br/>* 1 week for 6.99 USD<br/>* 1 month for 29.99 USD<br/>* 3 months for 39.99 USD<br/><br/><br/>Important VIP membership information:<br/><br/>* Payment will be charged to Google Play Account at confirmation of purchase.<br/>* Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current week current month or three-month VIP membership period.<br/>* Account will be charged for renewal within 24 hours prior to the end of the current week current month or three-month VIP membership period.<br/>* Auto-renewal may be turned off by going to the user's Google Play Account Settings after purchase.<br/>* No cancellation of the current subscription is allowed during the active subscription period.<br/><br/><br/>Privacy Policy and Terms of Service information:<br/><br/>* The TS Dating privacy policy can be found here: https://www.ts.dating/privacy-policy<br/>* The TS Dating terms of use can be found here: https://www.ts.dating/terms-of-service<br/><br/>You must be at least 18 years old to use TS Dating.<br/><br/>We hope you enjoy your time using the app.  Please let us know what you think by using the Contact Us page in the app after downloading.,,Dating,,,,,y,transgender community,
537,TWINK - Same Sex 🍆🍑 Gay Chat 🌶 Live Dating,1.0.7.4,1664.0,🌶 100% Anonymous gay dating app<br/>🌶  Unique functionality<br/>🌶  FULL protection of personal information <br/>🌶  Huge user base around the world<br/>🌶 Just chatting or meeting right now?<br/><br/>💋 The Free Chat for Guys<br/>The Partner app will connect you with like-minded people in those places which you visit say in your sport club a restaurant or a party.<br/><br/>How It works ?<br/>Whenever you wish to meet somebody you just need to pull a trigger in this application to show that your are ready for dating.<br/>The app will suggest you those members of the community who are also ready for dating and are close to you.<br/><br/>💋 The New Gay Dating App<br/>Expand your horizons! Men around the world choose the Partner app as the most convenient and easy way to meet those who share their thoughts and philosophy of life.<br/><br/>💋 The Free Chat for Guys<br/>Wherever you are a handy and easy way of communication with members of the community is always available for you. Just pull your trigger in this app! :)<br/><br/>Don't waste your time! No need to register and leave your personal data! All chats are stored for 24 hours only!<br/><br/>Guaranteed protection from random people.<br/>We use neural networks to protect you and not to show you people from dangerous places of the city. We also connect people through the system of recommendations and virtual signs of affiliation.,,Dating,,,,,y,gay,
539,u4Bear: Gay Bear Social App,16.6.1,3581.0,Every day millions of messages are exchanged by gay guys bisexual or curious using u4Bear: the gay bear social network for smartphones tablets and computers around the world with over 7 million registered users and 8 years in market.<br/><br/>Whether you are looking for dating friends or a partner you'll found it on u4Bear a simple and very complete app for Android. u4Bear is fast reliable and easy to use. <br/><br/>Search users view their photos (even private) chat exchange messages pictures or video. u4Bear is designed for you to meet people near you or around the world GO!,,Social,,,,,y,gay,
540,Umeed Gay/LGBT matrimony,4.0.2,347.0,Umeed is an online Matrimonial app aiming at bringing the LGBT community in the main stream. <br/>We promise to help you find true happiness and a partner for a lifetime.,,Social,,,,,y,,
541,Unicorn- Unique Gay to Date,1.20.0,479.0,Unicorn provides a platform that helps you find the most unique person in your life.<br/><br/>Are you getting tired of casual dating or booty call on the dating app? It's like you will never find someone who can see the real you! Don't worry UNICORN is here to save you! <br/><br/>Who said that gay people can't have long-term relationship?<br/>In Unicorn you will meet all guys that really want a stable relationship let's find out!<br/><br/>Our special features:<br/><br/>× VOICE - Special voice recording function lets you hear his voice before you meet him.<br/><br/>× SWIPE - You can always look back at the guys you swiped so you can have a second thought.<br/><br/>× QUESTION - Ask your matches important questions to know if you are sharing the same value.<br/><br/>× NOTIFICATIONS - You will know that he is missing you so you won't lose any chance to get love!<br/><br/>× FOLLOW - Follow the guys you like and everything they post. You can find some topics to chat with them.<br/><br/>× SECURITY - We provide 24 hours of review team to maintain our platform for avoiding fake accounts or scams.<br/><br/>× CHAT - Nice and simple chat room for you to chat with your matches. The one you admire doesn't like you yet? No worries! You have one chance to let him know your feelings.<br/><br/><br/><br/>*Notice*<br/>- UNICORN is only for men. <br/>- We currently only provide homosexual dating services there is no dating services for  bisexuality or heterosexuality now.<br/>- Users must be at least 18 years old<br/><br/>UNICORN supports marriage equality find that guy who has brain and soul here! <br/>I know you have been waiting for him whole life just join us now!,,Dating,,,,,y,gay,
542,United Men,5.12.328,241.0,United Men is a free gay chat and gay dating service destinated to facilitate multi-ethnic multi-cultural and inter-racial encounters between gay bisexual and curious straight people.<br/><br/>Meet gay men from all origins cultures and races: African gay men South-American gay men European gay men Asian gay men Indian gay men Black gay men Arab gay men Latino gay men Mixed race gay men Caucasian gay men… <br/><br/>UnitedMen is discreet and private dating service for gay bisexual and curious straight people who are looking for interracial gay love multicultural exchange friendship or simply fun. Operated from France the country of long multicultural tradition the goal of this gay social network is to promotes multi-ethnic gay love tolerance and peace.<br/><br/>If you are looking for gay men from various cultures countries races or origins you've gotta get this app man! <br/><br/>UnitedMen is free Gay Chat organized geographically! This gay application lets you contact and keep in touch with gay black latin indian white asian… men in your area and from all around the globe including remote cities and countries. Choose your location manually or automatically and stay informed when new gay men of your interest join. <br/><br/>United Men care about your privacy! On this free gay chat you can have a discreet anonymous and private discussions with other gay and biseuxual men.  Choose to give access to your private pics or geolocation to guys of your choice only.<br/><br/>Subscribe to Premium Service and take advantage of many advanced search options including multiple parameters search for a small fee.<br/><br/>Whenever you are black latino white asian arab indian… gay or bisexual curious or indecided join now UnitedMen the gay application for multi-ethnic and inter-racial gay dating !,,Social,,,,,y,gay,
543,UrbanGay : gay & lesbian chat,17.01,7.0,Download UrbanGay app for discreet gay and lesbian dating. <br/>Thousands of people are already using it to find new dates.<br/>What are you waiting for to join them?<br/><br/>NEW :<br/><br/>•	Call the other connected users anonymously. Your mobile number will never be disclosed .<br/>•	Send all your messages as high priority.<br/>•	Receive message delivery and read reports.<br/>•	Chat without advertising<br/><br/>10 key features about UrbanGay app:<br/><br/>• Free app<br/>• Optional registration<br/>• Facebook Connect<br/>• No personal information required =&gt; privacy respected<br/>• Unlimited chat & conversations<br/>• Advanced connected research <br/>• Users nearby <br/>• Favorite contact list<br/>• Blacklist<br/>• Detailed profile with photos albums (public or private) for VIPs <br/><br/>Connect to UrbanGay app in less than one minute !<br/><br/>Thanks to UrbanGay chat service gay and lesbian dating has never been so easy and discreet. Do not hesitate to come and flirt with the already addict connected users!<br/><br/>For further information or assistance please contact our customer care service directly at urbangay@hotline.center. All requests are processed as soon as possible.<br/><br/>UrbanGay is an app only for adults 18 years and older.,,Dating,,,,,y,gay,
544,Urge - Gay Chat,12.0.0,17.0,When you have the urge Get on The Urge.<br/><br/>It's the free Dating and Hook up App for Gay Men into connecting with other Gay Men now.  <br/><br/>New guys are joining everyday.<br/><br/>Urge has all kinds of dating niches: Gay Bears Twinks Daddies and Latins looking to connect with all kinds of gay men like you.   <br/><br/>You could be a Bear seeking a Daddy or an Asian looking for Interracial Dating with a Black Guy into Leather.  It's all here.<br/><br/>Install today.,,Social,,,,,y,gay,
546,Venom - Lesbian & LGBTQ Dating App,6.08,42.0,Lesbian Chat is a brand new social network & dating app.<br/>This LGBT dating application has been made for the lesbian gay bisexual queer and transgender community. Our goal lis to provide a safe and secure dating platform for whatever relationship you are looking for. If you are interested in LGBT dating in your area then our community is right for you. After signing up you will have to select one of the following category: gay men Lesbians or transgenders. You will be then able to find a match with others who selected the same option. The application offers the possibility to search profiles around the world and from nearby. Users can enjoy the following features: Chat private messaging social videos winks and more. The advanced search option help members find the partner they are looking for. The app offers the option to check members who looked into your profile. The process to sign up is quick and easy.<br/><br/>Her is the app you and our community were waiting for.<br/><br/>As the new lesbian dating app in the field Les is the most trusted and secure place for ONLY women to connect get to know and even fall in love with each other. Whether you are looking for a serious relationship or just searching for hookup with other lesbians we have them all!<br/><br/>It used to be hard to find partners or like-minded friends when you are confined to limited living or working radius. However with les chat app on your handset things have never become so easy and efficient. Simply using the swipe feature - swiping right or left to check out all compatible matches nearby till you finally find the perfect ones; <br/><br/>❤️  Find Lesbian Love<br/><br/>We present you with the most interesting lesbian women around you. Swipe match and choose who you like and who you don’t. You only get messages from singles you like and you decide who can start a conversation with you. In app you have full control and you won’t be bothered by unwanted visitors.<br/><br/>💋  Completely Free<br/><br/>Lesbian Chat designed purely for lesbian women to find the right lady. Forget other lesbian dating services fee-based lesbian apps or complicated flirt chats. Les App is a new different and game-changing app that will help you to improve your lesbian dating life. Who knows your true lesbian love could be closer than you think.<br/>How it works:<br/><br/>- Create profile for free in a few minutes<br/>- Use feature to check lesbian singles around you swipe right to like her<br/>- Use Filter to search other amazing les women which you like<br/>- When you find someone you like you can send her a message<br/>- Share your moments with other lesbians near you<br/><br/>Since now upon thousands of hot and sensual gay or bi girls have signed up and gathered in our LGBT community and your perfect matches are just out there. <br/>Wait no more download and start using the Les app from Now!,,Dating,,,,,y,gay,
547,VIGR,2.48,71.0,VIGR – Real People Real Interactions.<br/>Fed up with of fake profiles and time wasters? Sick being addressed like a piece of meat? VIGR is a TOTALLY FREE social app for gay and bi men looking for genuine interactions. <br/>By providing a safe and authentic environment for members to meet and discover one another on the basis of transparency and respect VIGR enables you to interact with other guys and still be yourself in a socially-oriented friendly setting.<br/>We’ve stacked the most advanced platform in its category with unique features and measures to ensure its welcoming framework:<br/><br/>•             Mandatory face photo – We believe people with faces are nicer than torsos so all profiles must include a face photo.<br/>•             Enhanced member verification – Members can validate themselves via a selfie or get ‘verify’ by other members they know in real life.<br/>•             Video & audio calling – Aside from text make calls from within the app. Send voice clips and pics easily without sharing your phone number.<br/>•             Disappearing images – Take privacy seriously: Set a timer for any photos you send to self-destruct automatically.<br/>•             Recall messages after sending – Send something regretful? Remove it from the receiver’s inbox.<br/>•             Message ‘read’ indicator – Know when your message was received.<br/>•             Public chat groups - Create and participate in chat groups meet people and discuss whatever comes to mind.<br/>•             Local events – Directory of public and local events. Find out who else will be there create private events and RSVP to them.<br/><br/>… and much much more!,,Social,,,,,y,gay and bi men,
549,VU:BDSM Dating& Fet Life Style Chat Meet Personals,4.12,3731.0,Vanilla Umbrella is The Most Private and Most Established BDSM / Fetish Kink Lifestyle Dating & Forum Community that allows NO TRIBUTING NO FINDOM NO ESCORTS and no other money scammers or opportunists. Only users with genuine interest in BDSM / fetish bondage DDLG lifestyle singles as well as couples swingers.<br/>Find open minded people around you who share your fetishes like bondage shibari leather latex foot fetish DDLG etc. Chat get advice & safety information. Find events around you or plan munches.<br/> <br/>FOLLOW THE STEPS IN THE NOTIFICATIONS TO GET AN INVITATION CODE.<br/><br/>VU is a FREE and Clean open minded community where no sex nudity kinky or pornographic public display of content is allowed.<br/> <br/>Stay protected from nosy eyes with the famous Weather Screen and custom PIN!<br/> <br/>Enjoy group chats for Friends or people looking for Dating in the Open Chat Forum (the only Free Mobile BDSM Fetish Forum with instant notifications).<br/>Use it for meet-up or dating with singles or couples around you make friends develop relationships and find kinkd romance.<br/><br/>VU is the perfect BDSM Dating option only for genuine single women single men or couples whether they are Black White Asian Latino Gay Straight Bisexual Queer or Transgender. <br/>VU is the cleanest BDSM Community currently available in most countries: United States Canada Australia Germany Norway Sweden and most of Europe United Kingdom UK England Ireland Scotland and others.,,Social,,,,,y,,
550,W | Bear : Gay Bear's Chat App,2.6.4,450.0,A friendly gay bear app. Watch pictures of bear daddy chub scruffy muscle bear chaser & get the chance to talk date and meet with guys around you around the world.<br/><br/>Welcome to W | Bear the next generation in gay social networking app designed specifically for and by the gay bear community. <br/><br/>In the world of gay apps try a gay bear app that is really different:  W | Bear.<br/><br/>With W | Bear connecting and interacting with other guys from around the world or near you who share your same interests and likes is both easy and fun.  <br/> <br/>Develop new friendships with men both locally and throughout the world.  Enjoy sharing and viewing photos and videos posted by bear cub chubby chaser admirer daddy otter and many more.<br/><br/>If you are a hairy daddy furry muscle bear bearded fuzzy otter clean shaven chaser bald chubby heavyset or any of the countless combinations of international bears and hirsute men WELCOME!  W | Bear is an inclusive community.   <br/><br/>Make new friend or date by creating your own unique W | Bear profile and personalize it with photos and videos. Add tags to your profile to describe who you are and what you are looking for and to help find and to be found by others. Friendship and dating become easier : get a match !<br/><br/>Use the filters and tools built into W | Bear to easily view connect and date with the men you find most interesting.  Chat with them one on one send private picture add public comments to the photos and videos that they have posted follow them to ensure that you see any/all new media they may post or simply “like” something they have already posted.  <br/><br/>Your W | Bear profile provides an easy way for any member of the bear community to find new friends or dates with similar likes and interests and to share conversations with. W | Bear is the new way to create your own private bear social network. Everything is possible from friendship to dating or more :  you will find the good match !<br/><br/>At W | Bear you can create your personal profile in 1 minute and then you can post an unlimited number of photos and videos in your public and private albums.  You can further customize your photos by adding filters cropping and even adding messages to them.  You can use video media to share those life experiences that are better shared using video technology.<br/><br/>With W | Bear you can search for other local men wherever you may be. Whether you are in a big city or a small town or even somewhere you will be visiting in the future you can connect today with those men you would like to meet.  <br/><br/>Each time you chat on W | Bear you start right where you left off as you never lose any of your past conversations chat history or match. Plus you can use W | Bear on your different devices and never lose any data or chat history regardless of which device you may have used.<br/> <br/>With W | Bear create your own customized feed of all the photos and videos posted by your friends and men you like.  <br/><br/>Discover bear weeks bear runs and other gay events around the world. Identify which W | Bear members are planning to attend and even connect with them before you go<br/>!<br/>W | Bear  is for bears of all types and admirers: panda bear polar bear papa bear pocket bear daddy bear grizzly bear muscle bear cub chubby heavyset chaser hairy men furry men otter silver otter wolf seal daddy leather men fox silver fox  the guys next door and many more - you will have a place in our large inclusive community.<br/><br/>W | Bear app has been built by bears and their admirers specifically for bears and their admirers.  <br/><br/>W | Bear is for men over 18 years old only.  Photos or videos that display nudity sex acts or are sexually suggestive are strictly prohibited.     <br/>FREE to download. VIP Plan available.,,Social,,,,,y,gay,
